ID,name,strength,freq,category
105,optical quantum,204,31,Use Cases
106,optimization algorithm,212,32,Use Cases
107,optimization problems,125,24,Use Cases
108,particle swarm,66,12,Use Cases
109,phase estimation,106,12,Use Cases
110,phase transition,39,10,Sub-Domain Terms
111,photon emission,64,10,Sub-Domain Terms
112,photon sources,109,15,Use Cases
113,photonic quantum,240,28,Use Cases
114,practical quantum,136,18,Use Cases
115,quantum advantage,214,22,Sub-Domain Terms
116,quantum approximate,104,10,Sub-Domain Terms
117,quantum approximate optimization,104,10,Sub-Domain Terms
118,quantum computational,143,16,Sub-Domain Terms
119,quantum computations,87,12,Sub-Domain Terms
120,quantum computing applications,108,21,Sub-Domain Terms
121,quantum computing system,111,14,Sub-Domain Terms
122,quantum devices,453,52,Sub-Domain Terms
123,quantum dynamics,99,13,Sub-Domain Terms
124,quantum eigensolver,220,22,Sub-Domain Terms
125,quantum error,415,47,Sub-Domain Terms
126,quantum gates,169,25,Sub-Domain Terms
127,quantum hardware,358,49,Sub-Domain Terms
128,quantum image,51,14,Sub-Domain Terms
129,quantum inspired,37,11,Sub-Domain Terms
130,quantum interference,78,16,Sub-Domain Terms
131,quantum logic,139,17,Sub-Domain Terms
132,quantum machine,405,43,Sub-Domain Terms
133,quantum memories,97,14,Sub-Domain Terms
134,quantum neural,154,15,Sub-Domain Terms
135,quantum phase,80,13,Sub-Domain Terms
136,quantum photonic,98,16,Sub-Domain Terms
137,quantum programs,78,14,Sub-Domain Terms
138,quantum simulator,111,15,Sub-Domain Terms
139,quantum speedup,74,11,Sub-Domain Terms
140,quantum state,475,76,Sub-Domain Terms
141,quantum states,294,44,Sub-Domain Terms
142,quantum systems,350,51,Core Terms
143,qubit quantum,120,17,Sub-Domain Terms
144,recent developments,51,11,Generic Terms
145,robust quantum,109,12,Generic Terms
146,scalable quantum,222,37,Sub-Domain Terms
147,scalable quantum computing,98,16,Sub-Domain Terms
148,search algorithm,67,13,Sub-Domain Terms
149,semiconductor quantum,113,15,Use Cases
150,silicon photonic,85,16,Use Cases
151,single photon,195,26,Use Cases
152,single photons,144,18,Use Cases
153,small quantum,91,11,Use Cases
154,state preparation,111,20,Use Cases
155,state tomography,62,10,Use Cases
156,superconducting quantum,259,34,Use Cases
157,superconducting qubit,208,26,Use Cases
158,support vector,77,11,Generic Terms
159,swarm optimization,66,12,Use Cases
160,topological quantum,181,38,Use Cases
161,topological superconductor,68,15,Use Cases
162,transition metal,50,19,Use Cases
163,unitary coupled,69,10,Use Cases
164,universal quantum,299,43,Sub-Domain Terms
165,universal quantum computing,85,12,Sub-Domain Terms
166,variational quantum,421,42,Sub-Domain Terms
